,Symbol,currentPrice,averageDailyVolume10Day,marketCap,marketCapLabel,priceRangeLabel
105,HCA,353.6,1431100.0,85066964992.0,mid/large,out
106,SHW,342.89,1775170.0,85928574976.0,mid/large,out
107,BBVA,15.415,2666700.0,88738291712.0,mid/large,in
108,ELV,295.485,3450950.0,66536718336.0,mid/large,out
109,RACE,516.35,305330.0,92841787392.0,mid/large,out
110,MCO,508.49,782010.0,91496669184.0,mid/large,out
111,UPS,103.665,4342220.0,87783317504.0,mid/large,almost in
112,PH,728.5,424450.0,93086269440.0,mid/large,out
113,CI,304.15,1421080.0,81251540992.0,mid/large,out
114,CVS,61.82,6799940.0,78203535360.0,mid/large,in
115,GSK,38.055,6503230.0,76841795584.0,mid/large,in
116,AJG,310.485,1092920.0,79500607488.0,mid/large,out
117,BP,32.81,6923360.0,84798758912.0,mid/large,in
118,TDG,1596.47,232090.0,89669091328.0,mid/large,out
119,APO,152.01,2591360.0,86872801280.0,mid/large,out
120,RSG,243.14,1339800.0,75980521472.0,mid/large,out
121,MMM,151.25,4536330.0,80560291840.0,mid/large,out
122,INFY,18.405,15475830.0,76291858432.0,mid/large,in
123,BMO,114.845,799120.0,82926239744.0,mid/large,almost in
124,SCCO,100.52,1389460.0,80824909824.0,mid/large,almost in
125,DELL,126.93,5314130.0,85853167616.0,mid/large,out
126,AON,356.81,1120200.0,77049552896.0,mid/large,out
127,ECL,267.68,1022490.0,75890753536.0,mid/large,out
128,COF,220.24,3193260.0,140873220096.0,mid/large,out
129,CL,88.485,4390620.0,71710007296.0,mid/large,in
130,PBR,12.665,17881270.0,77765885952.0,mid/large,in
131,PBR.A,,,,mid/large,almost in
132,ZTS,153.2,3407070.0,68205862912.0,mid/large,out
133,CP,77.58,2754360.0,72184774656.0,mid/large,in
134,GD,317.29,1241300.0,85159370752.0,mid/large,out
135,WMB,57.625,6640250.0,70360702976.0,mid/large,in
136,ITW,263.105,822100.0,77186072576.0,mid/large,out
137,RCL,351.94,1841610.0,95572828160.0,mid/large,out
138,NOC,566.125,851710.0,81112129536.0,mid/large,out
139,EMR,146.44,2346980.0,82372493312.0,mid/large,out
140,SNOW,212.775,3174840.0,70994075648.0,mid/large,out
141,PNC,197.365,2911780.0,77759045632.0,mid/large,out
142,NGG,72.46,839140.0,71897350144.0,mid/large,in
143,EPD,31.525,3779130.0,68374573056.0,mid/large,in
144,HWM,186.265,2341320.0,75190337536.0,mid/large,out
145,MFG,6.115,4925640.0,76406923264.0,mid/large,in
146,EQNR,25.765,3212600.0,65486385152.0,mid/large,in
147,MSI,421.985,727040.0,70436044800.0,mid/large,out
148,USB,46.305,14157350.0,72144576512.0,mid/large,in
149,CVNA,340.32,2364440.0,39799402496.0,mid/large,out
150,CMG,52.66,11087400.0,70951976960.0,mid/large,in
151,CNQ,31.355,4867460.0,65634791424.0,mid/large,in
152,JCI,110.05,3620530.0,72418074624.0,mid/large,almost in
153,BNS,56.775,2203160.0,70717808640.0,mid/large,in
154,ITUB,6.435,31536670.0,66146648064.0,mid/large,in
155,EOG,118.77,3106080.0,64823119872.0,mid/large,almost in
156,CNI,96.26,1447270.0,60403154944.0,mid/large,in
157,RBLX,118.07,8535120.0,80084992000.0,mid/large,almost in
158,BK,99.37,5200730.0,70079799296.0,mid/large,in
159,CM,74.3,1352820.0,69410390016.0,mid/large,in
160,ET,17.445,12288330.0,59867402240.0,mid/large,in
161,ING,23.755,2533190.0,70512910336.0,mid/large,in
162,APD,297.48,1027790.0,66202390528.0,mid/large,out
163,CRH,96.9,3511310.0,65190445056.0,mid/large,in
164,BCS,19.455,19703280.0,68659613696.0,mid/large,in
165,NEM,61.335,13012550.0,68265848832.0,mid/large,in
166,CARR,79.565,3717060.0,67872288768.0,mid/large,in
167,AZO,3758.735,108920.0,62878752768.0,mid/large,out
168,LYG,4.295,8835160.0,64182333440.0,mid/large,in
169,KMI,26.75,15954520.0,59440640000.0,mid/large,in
170,AEM,127.355,2355270.0,64121331712.0,mid/large,out
171,DLR,179.215,1419600.0,61496012800.0,mid/large,out
172,TRV,264.35,1420910.0,59514175488.0,mid/large,out
173,SPG,165.73,1316780.0,62503247872.0,mid/large,out
174,HLT,267.18,1815150.0,63508684800.0,mid/large,out
175,DEO,105.88,1325380.0,58825023488.0,mid/large,almost in
176,NET,188.43,3285960.0,65311715328.0,mid/large,out
177,FCX,44.745,15433000.0,64262766592.0,mid/large,in
178,VST,198.875,4850550.0,67484651520.0,mid/large,out
179,NU,12.985,84904540.0,62644965376.0,mid/large,in
180,COR,292.77,947610.0,56745558016.0,mid/large,out
181,NSC,280.11,2018870.0,63149117440.0,mid/large,out
182,NWG,13.785,3562120.0,55749021696.0,mid/large,in
183,ARES,180.225,1397590.0,58857521152.0,mid/large,out
184,AFL,102.75,2111830.0,55551270912.0,mid/large,almost in
185,DB,31.365,2094580.0,60872253440.0,mid/large,in
186,MFC,31.28,1857730.0,53426864128.0,mid/large,in
187,FDX,239.3,1669400.0,56450633728.0,mid/large,out
188,PWR,403.9,885150.0,59857580032.0,mid/large,out
189,ALL,197.0375,1447090.0,52179079168.0,mid/large,out
190,MET,78.43,2500310.0,52649902080.0,mid/large,in
191,MPLX,51.02,1059960.0,52081217536.0,mid/large,in
192,O,57.88,5977100.0,52270272512.0,mid/large,in
193,TFC,45.8,9337720.0,59056349184.0,mid/large,in
194,PSA,289.18,976390.0,50731139072.0,mid/large,out
195,LNG,223.63,2340350.0,49597779968.0,mid/large,out
196,OKE,81.53,3147830.0,50926247936.0,mid/large,in
197,GWW,1045.825,418510.0,50240593920.0,mid/large,out
198,AMX,17.865,1442420.0,54179721216.0,mid/large,in
199,TRP,48.055,2505380.0,49959419904.0,mid/large,in
200,CPNG,30.53,7842880.0,55430574080.0,mid/large,in
201,MPC,177.13,2436510.0,54416818176.0,mid/large,out
202,BDX,182.515,3665340.0,52310077440.0,mid/large,out
203,SRE,79.08,3156870.0,51573604352.0,mid/large,in
204,PSX,127.86,2551460.0,52094894080.0,mid/large,out
205,WCN,184.495,1365580.0,47672397824.0,mid/large,out
206,CTVA,73.95,4078650.0,50446467072.0,mid/large,in
207,AIG,79.38,3849310.0,45749071872.0,mid/large,in
208,TEL,200.6,2043600.0,59487330304.0,mid/large,out
209,AMP,534.6,398000.0,50906054656.0,mid/large,out
210,HLN,9.745,11600230.0,43775025152.0,mid/large,in
211,SLB,35.151,23375550.0,52433694720.0,mid/large,in
212,FLUT,304.61,1967120.0,53671669760.0,mid/large,out
213,SU,39.735,3547220.0,48777891840.0,mid/large,in
214,D,58.1275,3952470.0,49570607104.0,mid/large,in
215,GM,53.055,10240100.0,51008933888.0,mid/large,in
216,TAK,14.77,3418190.0,46646910976.0,mid/large,in
217,LHX,269.585,1158850.0,50397835264.0,mid/large,out
218,URI,803.5,620190.0,52226695168.0,mid/large,out
219,VEEV,286.3,1205910.0,46784851968.0,mid/large,out
220,E,33.92,224240.0,51329437696.0,mid/large,in
221,TGT,107.79,4766290.0,48976113664.0,mid/large,almost in
222,CMI,360.915,995000.0,49717850112.0,mid/large,out
223,EW,76.81,4131050.0,45056745472.0,mid/large,in
224,ALC,92.21,1473790.0,45608542208.0,mid/large,in
225,OXY,44.445,11675680.0,43739791360.0,mid/large,in
226,VRT,130.32,8106530.0,49665605632.0,mid/large,out
227,CCI,109.84,2625250.0,47830814720.0,mid/large,almost in
228,GLW,55.815,3681570.0,47803924480.0,mid/large,in
229,HES,148.97,2801130.0,46072102912.0,mid/large,out
230,FICO,1533.71,412690.0,37333106688.0,mid/large,out
231,KR,72.83,5782170.0,48151990272.0,mid/large,in
232,MSCI,534.28,783840.0,41353273344.0,mid/large,out
233,FIS,81.57,2201570.0,42856472576.0,mid/large,in
234,KVUE,22.455,21642510.0,43111579648.0,mid/large,in
235,HEI,321.23,385110.0,38929223680.0,mid/large,out
236,FERG,227.18,1348830.0,45591842816.0,mid/large,out
237,F,11.375,71564940.0,45233254400.0,mid/large,in
238,VLO,146.94,3010360.0,46022492160.0,mid/large,out
239,AME,180.96,1290180.0,41779867648.0,mid/large,out
240,VALE,10.4049,51538750.0,44416229376.0,mid/large,in
241,PEG,86.56,2470600.0,43193266176.0,mid/large,in
242,WPM,95.07,1835220.0,43146186752.0,mid/large,in
243,VG,14.87,3942090.0,35983319040.0,mid/large,in
244,HMC,34.28,967000.0,46744891392.0,mid/large,in
245,GRMN,231.345,741010.0,44543397888.0,mid/large,out
246,YUM,147.35,1654990.0,40958144512.0,mid/large,out
247,CBRE,144.52,1246260.0,43082133504.0,mid/large,out
248,ABEV,2.425,35525990.0,38201024512.0,mid/large,in
249,XYZ,79.73,25551370.0,49035468800.0,mid/large,in
250,DHI,147.995,5999000.0,44242362368.0,mid/large,out
251,CAH,157.465,1630730.0,37583269888.0,mid/large,out
252,OTIS,88.88,1952380.0,35078889472.0,mid/large,in
253,ED,102.155,1877120.0,36806037504.0,mid/large,almost in
254,PRU,105.405,1444320.0,37314109440.0,mid/large,almost in
255,RMD,272.355,880350.0,39934599168.0,mid/large,out
256,TRGP,164.815,1228800.0,35753648128.0,mid/large,out
257,ROK,357.35,789220.0,40279064576.0,mid/large,out
258,SYY,80.7525,2565580.0,39144935424.0,mid/large,in
259,SLF,62.7122,920080.0,35316879360.0,mid/large,in
260,HEI.A,,,,mid/large,almost in
261,ETR,87.66,2605610.0,39125729280.0,mid/large,in
262,HIG,123.185,1607040.0,34997227520.0,mid/large,out
263,CHT,44.4,133380.0,34718670848.0,mid/large,in
264,VMC,268.5,979350.0,35469922304.0,mid/large,out
265,WAB,213.835,780130.0,36592730112.0,mid/large,out
266,HSY,182.701,2080440.0,37015953408.0,mid/large,out
267,B,21.665,9808730.0,37252100096.0,mid/large,in
268,VICI,33.395,6001290.0,35288829952.0,mid/large,in
269,WEC,108.9,1851410.0,34753695744.0,mid/large,almost in
270,A,119.635,2051480.0,33984116736.0,mid/large,almost in
271,FMX,97.405,769970.0,34536792064.0,mid/large,in
272,EFX,245.85,1007860.0,30436231168.0,mid/large,out
273,EXR,151.02,1043050.0,33460746240.0,mid/large,out
274,MLM,573.73,343110.0,34587541504.0,mid/large,out
275,IR,86.96,2718570.0,35085144064.0,mid/large,in
276,EQT,51.8498,9279080.0,31038638080.0,mid/large,in
277,LYV,152.96,1946770.0,35451846656.0,mid/large,out
278,TKO,167.655,840870.0,13705377792.0,mid/large,out
279,DAL,56.095,14991660.0,36627116032.0,mid/large,in
280,IT,356.67,1036850.0,27451783168.0,mid/large,out
281,WIT,2.985,9535670.0,31928156160.0,mid/large,in
282,FNV,162.485,608900.0,31302410240.0,mid/large,out
283,PCG,13.675,22481210.0,30053275648.0,mid/large,in
284,PUK,25.25,812980.0,32387672064.0,mid/large,in
285,QSR,71.04,2133010.0,32123293696.0,mid/large,in
286,CUK,28.05,1928540.0,36994863104.0,mid/large,in
287,XYL,131.7156,941810.0,32053125120.0,mid/large,out
288,CCL,30.705,18005170.0,41632292864.0,mid/large,in
289,BRO,102.755,2538410.0,33890344960.0,mid/large,almost in
290,IRM,99.32,1102950.0,29303769088.0,mid/large,in
291,HUBS,560.555,832170.0,29562324992.0,mid/large,out
292,STZ,175.95,2212310.0,31023677440.0,mid/large,out
293,RJF,160.975,1015530.0,32477513728.0,mid/large,out
294,GIS,51.255,5630600.0,27799437312.0,mid/large,in
295,TEF,5.345,485950.0,30354413568.0,mid/large,in
296,STLA,10.36,29261250.0,30167697408.0,mid/large,in
297,TME,21.565,6453100.0,32998117376.0,mid/large,in
298,OWL,20.34,7143590.0,31485710336.0,mid/large,in
299,AVB,203.24,662930.0,28934873088.0,mid/large,out
300,LVS,48.46,4073780.0,34243190784.0,mid/large,in
301,LEN,117.045,3299920.0,30156408832.0,mid/large,almost in
302,MTB,196.1475,1415870.0,30703362048.0,mid/large,out
303,NRG,160.26,2437200.0,31332431872.0,mid/large,out
304,NTR,60.605,1874550.0,29544148992.0,mid/large,in
305,LEN.B,,,,mid/large,almost in
306,WDS,16.725,537880.0,31756593152.0,mid/large,in
307,BBD,2.895,32502280.0,28565544960.0,mid/large,in
308,BBDO,2.51,35870.0,28304766976.0,mid/large,in
309,VTR,67.3,2689090.0,30377607168.0,mid/large,in
310,CCJ,79.245,5168230.0,34496696320.0,mid/large,in
311,DD,76.65,2407600.0,32077948928.0,mid/large,in
312,NOK,4.5099,27203440.0,26174377984.0,mid/large,in
313,HUM,236.165,1668930.0,28503461888.0,mid/large,out
314,RKT,16.135,20022590.0,34055985152.0,mid/large,in
315,CQP,53.25,203370.0,25775556608.0,mid/large,in
316,DTE,138.01,1339840.0,28639281152.0,mid/large,out
317,BR,242.11,479770.0,28438966272.0,mid/large,out
318,WRB,68.4,2680920.0,25949933568.0,mid/large,in
319,KEYS,167.7,748030.0,28862676992.0,mid/large,out
320,STT,110.44,2916430.0,31537465344.0,mid/large,almost in
321,K,79.915,2870500.0,27725631488.0,mid/large,in
322,ROL,55.1,1428500.0,26703994880.0,mid/large,in
323,AWK,141.225,1120210.0,27540570112.0,mid/large,out
324,CNC,29.2,18117820.0,14530008064.0,mid/large,in
325,IQV,193.77,2302950.0,32940900352.0,mid/large,out
326,EQR,68.24,1530530.0,26723330048.0,mid/large,in
327,KB,84.38,193070.0,30727145472.0,mid/large,in
328,NUE,145.005,1454900.0,33460051968.0,mid/large,out
329,STM,31.545,7822790.0,28198610944.0,mid/large,in
330,AEE,99.81,1546880.0,27059687424.0,mid/large,in
331,CVE,14.635,9708390.0,26544670720.0,mid/large,in
332,DRI,208.6,1139640.0,24413292544.0,mid/large,out
333,PPG,116.54,1712750.0,26451666944.0,mid/large,almost in
334,PPL,36.41,8239390.0,26916601856.0,mid/large,in
335,TYL,561.45,288250.0,24211689472.0,mid/large,out
336,GDDY,167.75,1393050.0,23902361600.0,mid/large,out
337,TPL,930.92,149680.0,21399336960.0,mid/large,out
338,EL,89.385,3209880.0,32156432384.0,mid/large,in
339,IP,54.12,3923830.0,28570056704.0,mid/large,in
340,MTD,1257.96,152790.0,26143930368.0,mid/large,out
341,MKL,2021.71,37840.0,25644783616.0,mid/large,out
342,CPAY,343.475,395820.0,24212721664.0,mid/large,out
343,DG,108.94,2604860.0,23974535168.0,mid/large,almost in
344,AU,51.0,2247940.0,25708996608.0,mid/large,in
345,TOST,47.58,8192990.0,27525744640.0,mid/large,in
346,ATO,156.74,601620.0,24896110592.0,mid/large,out
347,TU,16.56,3168600.0,25074489344.0,mid/large,in
348,DOV,190.46,1143230.0,26112829440.0,mid/large,out
349,IX,23.41,142450.0,26424035328.0,mid/large,in
350,VLTO,101.49,1133970.0,25155411968.0,mid/large,almost in
351,CHD,96.96,1853410.0,23879016448.0,mid/large,in
352,CRCL,200.65,23192290.0,49686958080.0,mid/large,out
353,ES,66.155,1962490.0,24304353280.0,mid/large,in
354,GIB,102.19,257110.0,22796953600.0,mid/large,almost in
355,FTV,51.15,3740870.0,17384964096.0,mid/large,in
356,UI,449.6,113320.0,27196844032.0,mid/large,out
357,CNP,37.06,4478800.0,24190101504.0,mid/large,in
358,ADM,56.24,2965630.0,27020507136.0,mid/large,in
359,STE,225.52,801030.0,22184628224.0,mid/large,out
360,HPE,20.75,17539650.0,27228565504.0,mid/large,in
361,FTS,48.745,591050.0,24450248704.0,mid/large,in
362,MT,34.685,1364800.0,26413322240.0,mid/large,in
363,FE,41.105,3448110.0,23723995136.0,mid/large,in
364,SYF,72.405,3274560.0,26927419392.0,mid/large,in
365,HPQ,25.875,6909580.0,24303689728.0,mid/large,in
366,TDY,546.93,495410.0,25628755968.0,mid/large,out
367,IOT,38.66,4160680.0,22010529792.0,mid/large,in
368,PINS,37.955,8451100.0,25681340416.0,mid/large,in
369,PHG,25.755,875340.0,23825539072.0,mid/large,in
370,BEKE,19.605,5701990.0,23043518464.0,mid/large,in
371,SW,47.81,2686950.0,24957442048.0,mid/large,in
372,DVN,33.235,7011720.0,21340192768.0,mid/large,in
373,NVR,7919.36,19270.0,23154862080.0,mid/large,out
374,LH,249.25,842460.0,20862224384.0,mid/large,out
375,PBA,37.295,852850.0,21664776192.0,mid/large,in
376,GFI,25.225,2691450.0,22576979968.0,mid/large,in
377,RDDT,146.86,4804000.0,27098753024.0,mid/large,out
378,ASX,10.565,6912780.0,22958059520.0,mid/large,in
379,DOW,30.435,10397200.0,21513345024.0,mid/large,in
380,EME,572.39,315300.0,25619032064.0,mid/large,out
381,CMS,72.811,1807210.0,21779517440.0,mid/large,in
382,AMCR,9.815,16291120.0,22489501696.0,mid/large,in
383,VIK,58.18,2620450.0,25782933504.0,mid/large,in
384,GWRE,223.78,610120.0,18841202688.0,mid/large,out
385,SHG,49.84,317380.0,24297547776.0,mid/large,in
386,PHM,119.04,2822850.0,23858831360.0,mid/large,almost in
387,HUBB,434.95,514808.0,23214413824.0,mid/large,out
388,KOF,85.49,218800.0,18383597568.0,mid/large,in
389,WAT,296.055,1406010.0,17617967104.0,mid/large,out
390,AS,37.73,2880660.0,20923963392.0,mid/large,in
391,INVH,32.41,2838100.0,19865675776.0,mid/large,in
392,BCE,24.565,2765410.0,22644631552.0,mid/large,in
393,AER,112.61,1113250.0,20413265920.0,mid/large,almost in
394,MKC,72.255,1918950.0,19389917184.0,mid/large,in
395,TEVA,16.5901,10458940.0,19026190336.0,mid/large,in
396,MKC.V,,,,mid/large,almost in
397,BSBR,4.84,771550.0,36159012864.0,mid/large,in
398,IFF,77.42,1491530.0,19803260928.0,mid/large,in
399,DGX,170.12,1433510.0,18991345664.0,mid/large,out
400,CTRA,23.425,6653920.0,17879388160.0,mid/large,in
401,UMC,7.475,5436820.0,18771968000.0,mid/large,in
402,RBA,108.57,928590.0,20106295296.0,mid/large,almost in
403,RF,26.345,12038810.0,23552430080.0,mid/large,in
404,TSN,54.245,2583670.0,19323912192.0,mid/large,in
405,WY,25.975,4628520.0,18838966272.0,mid/large,in
406,LII,661.81,322580.0,23484194816.0,mid/large,out
407,EIX,52.205,3471950.0,20086605824.0,mid/large,in
408,TECK,38.355,4062980.0,18981736448.0,mid/large,in
409,LYB,67.22,2936630.0,21604507648.0,mid/large,in
410,ESS,292.36,379810.0,20187340800.0,mid/large,out
411,TS,38.83,1076850.0,20423337984.0,mid/large,in
412,JBL,228.06,1211250.0,24475170816.0,mid/large,out
413,GPN,83.88,2388250.0,20456652800.0,mid/large,in
414,LDOS,163.745,656590.0,21077092352.0,mid/large,out
415,WSM,183.885,1103890.0,22617487360.0,mid/large,out
416,EC,8.932,2160090.0,18579095552.0,mid/large,in
417,HAL,22.005,15493880.0,18918027264.0,mid/large,in
418,NI,41.605,4317170.0,19583598592.0,mid/large,in
419,KGC,16.175,14680510.0,19843489792.0,mid/large,in
420,L,91.916,908120.0,19274508288.0,mid/large,in
421,LUV,37.6101,11646190.0,21432717312.0,mid/large,in
422,NMR,6.875,488530.0,20298436608.0,mid/large,in
423,ZBH,97.4,1928740.0,19270395904.0,mid/large,in
424,GFL,47.47,1026930.0,17407582208.0,mid/large,in
425,XPEV,18.83,5947670.0,17465182208.0,mid/large,in
426,MAA,152.765,871340.0,18349826048.0,mid/large,out
427,CRBG,35.4,2258430.0,19459559424.0,mid/large,in
428,ONON,51.3607,3954820.0,16750007296.0,mid/large,in
429,CW,479.575,264550.0,18074847232.0,mid/large,out
430,CFG,49.885,6746430.0,21588680704.0,mid/large,in
431,PSTG,57.265,2240270.0,18716035072.0,mid/large,in
432,USFD,84.245,2747630.0,19490080768.0,mid/large,in
433,TWLO,132.95,3220430.0,20298008576.0,mid/large,out
434,KEY,18.805,24795470.0,20919623680.0,mid/large,in
435,FIX,545.315,303630.0,19235876864.0,mid/large,out
436,IHG,118.4,178120.0,18156167168.0,mid/large,almost in
437,RYAN,64.41,981950.0,16914195456.0,mid/large,in
438,VIV,11.085,1313400.0,18411741184.0,mid/large,in
439,BAP,236.26,297540.0,18751082496.0,mid/large,out
440,PKG,206.54,646370.0,18584469504.0,mid/large,out
441,BEP,27.57,495640.0,18039574528.0,mid/large,in
442,RBRK,84.365,3428360.0,16324035584.0,mid/large,in
443,CHWY,37.24,5917240.0,15373231104.0,mid/large,in
444,HRL,29.535,3972200.0,16241147904.0,mid/large,in
445,TPR,108.735,4123760.0,22583173120.0,mid/large,almost in
446,EBR,7.04,1506630.0,16093368320.0,mid/large,in
447,GPC,134.87,1309920.0,18759337984.0,mid/large,out
448,TLK,17.5775,490910.0,17412657152.0,mid/large,in
449,WSO.B,,,,mid/large,almost in
450,TRU,94.31,2375510.0,18399881216.0,mid/large,in
451,WSO,486.295,283260.0,19456759808.0,mid/large,out
452,FMS,27.185,207390.0,15952891904.0,mid/large,in
453,SNA,329.93,445750.0,17210269696.0,mid/large,out
454,YUMC,48.88,1563650.0,18068199424.0,mid/large,in
455,SUI,124.53,1148560.0,16556014592.0,mid/large,out
456,RS,343.15,380080.0,18045605888.0,mid/large,out
457,PNR,103.62,2049870.0,17048289280.0,mid/large,almost in
458,DT,53.5,2123920.0,16143998976.0,mid/large,in
459,WST,227.38,647470.0,16336207872.0,mid/large,out
460,EQH,52.865,2242440.0,16065410048.0,mid/large,in
461,RL,294.075,539490.0,17813006336.0,mid/large,out
462,FDS,416.147,297550.0,15733186560.0,mid/large,out
463,DECK,108.285,3960070.0,16181678080.0,mid/large,almost in
464,BAX,28.655,5508540.0,14705030144.0,mid/large,in
465,CNH,13.405,23284070.0,16748609536.0,mid/large,in
466,MOH,190.02,1758770.0,10299083776.0,mid/large,out
